specie	record_number	process	QDB_process	type	element	ionic_state	initial_state_conf	initial_state	final_state	reaction_formula	x_unit	y_unit	reference_number	author	title_of_record	journal_name	volume_and_issue_No	page_number	date_of_publication	DOI
O5+	rowB201207438	Electron Impact Electronic Excitation	EEX	R	O	1	1s22s1,2S	O5+(1s22s1,2S)	O5+(1s23d1,2D) + e	e + O5+(1s22s1,2S) -> O5+(1s23d1,2D) + e	eV	1E-16 cm^2	2012000414	T. Nishikawa  T. Kawachi  K. Nishihara  T. Fujimoto	Recommended Atomic Data for Collisional-Radiative Mdel of Li-like Al Ions in the Recombining Plasma	Natl. Inst. Fusion Sci.	30	1/-	1995	
O5+	rowB201207439	Electron Impact Electronic Excitation	EEX	R	O	1	1s22s1,2S	O5+(1s22s1,2S)	O5+(1s24s1,2S) + e	e + O5+(1s22s1,2S) -> O5+(1s24s1,2S) + e	eV	1E-16 cm^2	2012000414	T. Nishikawa  T. Kawachi  K. Nishihara  T. Fujimoto	Recommended Atomic Data for Collisional-Radiative Mdel of Li-like Al Ions in the Recombining Plasma	Natl. Inst. Fusion Sci.	30	1/-	1995	
O5+	rowB201207440	Electron Impact Electronic Excitation	EEX	R	O	1	1s22s1,2S	O5+(1s22s1,2S)	O5+(1s24p1,2P) + e	e + O5+(1s22s1,2S) -> O5+(1s24p1,2P) + e	eV	1E-16 cm^2	2012000414	T. Nishikawa  T. Kawachi  K. Nishihara  T. Fujimoto	Recommended Atomic Data for Collisional-Radiative Mdel of Li-like Al Ions in the Recombining Plasma	Natl. Inst. Fusion Sci.	30	1/-	1995	
O5+	rowB201207441	Electron Impact Electronic Excitation	EEX	R	O	1	1s22s1,2S	O5+(1s22s1,2S)	O5+(1s24d1,2D) + e	e + O5+(1s22s1,2S) -> O5+(1s24d1,2D) + e	eV	1E-16 cm^2	2012000414	T. Nishikawa  T. Kawachi  K. Nishihara  T. Fujimoto	Recommended Atomic Data for Collisional-Radiative Mdel of Li-like Al Ions in the Recombining Plasma	Natl. Inst. Fusion Sci.	30	1/-	1995	
O5+	rowB201207442	Electron Impact Electronic Excitation	EEX	R	O	1	1s22s1,2S	O5+(1s22s1,2S)	O5+(1s24f1,2F) + e	e + O5+(1s22s1,2S) -> O5+(1s24f1,2F) + e	eV	1E-16 cm^2	2012000414	T. Nishikawa  T. Kawachi  K. Nishihara  T. Fujimoto	Recommended Atomic Data for Collisional-Radiative Mdel of Li-like Al Ions in the Recombining Plasma	Natl. Inst. Fusion Sci.	30	1/-	1995	
O5+	rowB201207443	Electron Impact Electronic Excitation	EEX	R	O	1	1s22s1,2S	O5+(1s22s1,2S)	O5+(1s25s1,2S) + e	e + O5+(1s22s1,2S) -> O5+(1s25s1,2S) + e	eV	1E-16 cm^2	2012000414	T. Nishikawa  T. Kawachi  K. Nishihara  T. Fujimoto	Recommended Atomic Data for Collisional-Radiative Mdel of Li-like Al Ions in the Recombining Plasma	Natl. Inst. Fusion Sci.	30	1/-	1995	
O5+	rowB201207444	Electron Impact Electronic Excitation	EEX	R	O	1	1s22s1,2S	O5+(1s22s1,2S)	O5+(1s25p1,2P) + e	e + O5+(1s22s1,2S) -> O5+(1s25p1,2P) + e	eV	1E-16 cm^2	2012000414	T. Nishikawa  T. Kawachi  K. Nishihara  T. Fujimoto	Recommended Atomic Data for Collisional-Radiative Mdel of Li-like Al Ions in the Recombining Plasma	Natl. Inst. Fusion Sci.	30	1/-	1995	
O5+	rowB201207445	Electron Impact Electronic Excitation	EEX	R	O	1	1s22s1,2S	O5+(1s22s1,2S)	O5+(1s25d1,2D) + e	e + O5+(1s22s1,2S) -> O5+(1s25d1,2D) + e	eV	1E-16 cm^2	2012000414	T. Nishikawa  T. Kawachi  K. Nishihara  T. Fujimoto	Recommended Atomic Data for Collisional-Radiative Mdel of Li-like Al Ions in the Recombining Plasma	Natl. Inst. Fusion Sci.	30	1/-	1995	
O5+	rowB201207446	Electron Impact Electronic Excitation	EEX	R	O	1	1s22s1,2S	O5+(1s22s1,2S)	O5+(1s25f1,2F) + e	e + O5+(1s22s1,2S) -> O5+(1s25f1,2F) + e	eV	1E-16 cm^2	2012000414	T. Nishikawa  T. Kawachi  K. Nishihara  T. Fujimoto	Recommended Atomic Data for Collisional-Radiative Mdel of Li-like Al Ions in the Recombining Plasma	Natl. Inst. Fusion Sci.	30	1/-	1995	
O5+	rowB201207447	Electron Impact Electronic Excitation	EEX	R	O	1	1s22s1,2S	O5+(1s22s1,2S)	O5+(1s25g1,2G) + e	e + O5+(1s22s1,2S) -> O5+(1s25g1,2G) + e	eV	1E-16 cm^2	2012000414	T. Nishikawa  T. Kawachi  K. Nishihara  T. Fujimoto	Recommended Atomic Data for Collisional-Radiative Mdel of Li-like Al Ions in the Recombining Plasma	Natl. Inst. Fusion Sci.	30	1/-	1995	
O5+	rowB201207448	Electron Impact Electronic Excitation	EEX	R	O	1	1s22p1,2P	O5+(1s22p1,2P)	O5+(1s23s1,2S) + e	e + O5+(1s22p1,2P) -> O5+(1s23s1,2S) + e	eV	1E-16 cm^2	2012000414	T. Nishikawa  T. Kawachi  K. Nishihara  T. Fujimoto	Recommended Atomic Data for Collisional-Radiative Mdel of Li-like Al Ions in the Recombining Plasma	Natl. Inst. Fusion Sci.	30	1/-	1995	
O5+	rowB201207449	Electron Impact Electronic Excitation	EEX	R	O	1	1s22p1,2P	O5+(1s22p1,2P)	O5+(1s23p1,2P) + e	e + O5+(1s22p1,2P) -> O5+(1s23p1,2P) + e	eV	1E-16 cm^2	2012000414	T. Nishikawa  T. Kawachi  K. Nishihara  T. Fujimoto	Recommended Atomic Data for Collisional-Radiative Mdel of Li-like Al Ions in the Recombining Plasma	Natl. Inst. Fusion Sci.	30	1/-	1995	
O5+	rowB201207450	Electron Impact Electronic Excitation	EEX	R	O	1	1s22p1,2P	O5+(1s22p1,2P)	O5+(1s23d1,2D) + e	e + O5+(1s22p1,2P) -> O5+(1s23d1,2D) + e	eV	1E-16 cm^2	2012000414	T. Nishikawa  T. Kawachi  K. Nishihara  T. Fujimoto	Recommended Atomic Data for Collisional-Radiative Mdel of Li-like Al Ions in the Recombining Plasma	Natl. Inst. Fusion Sci.	30	1/-	1995	
O5+	rowB201207451	Electron Impact Electronic Excitation	EEX	R	O	1	1s22p1,2P	O5+(1s22p1,2P)	O5+(1s24s1,2S) + e	e + O5+(1s22p1,2P) -> O5+(1s24s1,2S) + e	eV	1E-16 cm^2	2012000414	T. Nishikawa  T. Kawachi  K. Nishihara  T. Fujimoto	Recommended Atomic Data for Collisional-Radiative Mdel of Li-like Al Ions in the Recombining Plasma	Natl. Inst. Fusion Sci.	30	1/-	1995	
O5+	rowB201207452	Electron Impact Electronic Excitation	EEX	R	O	1	1s22p1,2P	O5+(1s22p1,2P)	O5+(1s24p1,2P) + e	e + O5+(1s22p1,2P) -> O5+(1s24p1,2P) + e	eV	1E-16 cm^2	2012000414	T. Nishikawa  T. Kawachi  K. Nishihara  T. Fujimoto	Recommended Atomic Data for Collisional-Radiative Mdel of Li-like Al Ions in the Recombining Plasma	Natl. Inst. Fusion Sci.	30	1/-	1995	
O5+	rowB201207459	Electron Impact Electronic Excitation	EEX	R	O	1	1s22p1,2P	O5+(1s22p1,2P)	O5+(1s24d1,2D) + e	e + O5+(1s22p1,2P) -> O5+(1s24d1,2D) + e	eV	1E-16 cm^2	2012000414	T. Nishikawa  T. Kawachi  K. Nishihara  T. Fujimoto	Recommended Atomic Data for Collisional-Radiative Mdel of Li-like Al Ions in the Recombining Plasma	Natl. Inst. Fusion Sci.	30	1/-	1995	
