specie,record_number,process,QDB_process,type,element,ionic_state,initial_state_conf,initial_state,final_state,reaction_formula,x_unit,y_unit,reference_number,author,title_of_record,journal_name,volume_and_issue_No,page_number,date_of_publication
CH4,12003,elastic scattering,EEL, T,CH4,0,,CH4 +0 ( ),CH4,CH4 + e --> (total elastic scattering), eV,cm2,RN 2011T202, Vinodkumar  M. Limbachiya  C.G. Joshipura  K.N. Mason  N.J.,"Electron impact calculations of total elastic cross sections over a wide energy range - 0.001 eV to 2 keV for CH4, SiH4 and H2O", Eur. Phys. J. D,61,579-585,2011
CH4,10058,dissociative ionization,EDI, E,CH4,0,,CH4 +0 ( ),,CH4 + e --> (total ionization), eV,cm2,RN 1984E014, Chatham  H. Hils  D. Robertson  R. Gallagher  A.,"Total and partial electron collisional ionization cross sections for CH4, C2H6, SiH4, and Si2H6", J. Chem. Phys.,81,1770,1984
CH4,10113,ionization,EIN, E,CH4,0,,CH4 +0 ( ),,CH4 + e --> (total ionization), eV,cm2,RN 1991E201, Duric  N. Cadez  I. Kurepa  M.," Electron impact total ionization cross-sections for methane, ethane and propane", Int. J. Mass Spectrom. Ion Processes,108,R1-R10,1991
CH4,10140,ionization dissociation,EDS, E,CH4,0,,CH4 +0 ( ),,CH4 + e --> (total ionization), eV,cm2,RN 1997E201, Vallance  C. Harris  S.A. Hudson  J.E. Harland  P.W.,"Absolute electron impact ionization cross sections for CH3X, where X = H, F, Cl, Br, and I", J. Phys. B,30,2465-2475,1997
CH4,10177,ionization dissociative ionization dissociation,EDS, V,CH4,0,,CH4 +0 ( ),,CH4 + e --> (total ionization), eV,cm2,RN 2001T201, Janev  R.K. Wang  J.G. Murakami  I. Kato  T., Cross Sections and Rate Coefficients for Electron-Impact Ionization of Hydrocarbon Molecules, NIFS-DATA,68,,2001
CH4,10332,ionization,EIN, V,CH4,0,,CH4 +0 ( ),,CH4 + e --> (total ionization), eV,cm2,RN 2002V202, Shirai  T. Tabata  T. Hiroyuki  T. Itikawa  Y.,"ANALYTIC CROSS SECTIONS FOR ELECTRON COLLISIONS WITH HYDROCARBONS: CH4, C2H6, C2H4, C2H2, C3H8, AND C3H6", Atomic Data and Nuclear Tables,80,147-204,2002
CH4,11234,ionization,EIN, T,CH4,0,,CH4 +0 ( ),,CH4 + e --> (total ionization), eV,cm2,RN 1997T202, Kim  Y.-K. Hwang  W. Weinberger  N.M. Ali  M.A. Rudd  M.E., electron-impact ionization cross sections of atmospheric molecules, J. Chem. Phys.,106,1026,1997
CH4,10111,dissociative ionization dissociation ionization,EDS, E,CH4,0,,CH4 +0 ( ),,CH4 + e --> (total ionzation), eV,cm2,RN 1987E021, Orient  O.J. Srivastava  L.K.,"Electron impact ionisation of H2O, CO, CO2, and CH4", J. Phys. B,20,3923,1987
CH4,10328,total scattering,ETS, V,CH4,0,,CH4 +0 ( ),,CH4 + e --> (total scattering), eV,cm2,RN 2002V202, Shirai  T. Tabata  T. Hiroyuki  T. Itikawa  Y.,"ANALYTIC CROSS SECTIONS FOR ELECTRON COLLISIONS WITH HYDROCARBONS: CH4, C2H6, C2H4, C2H2, C3H8, AND C3H6", Atomic Data and Nuclear Tables,80,147-204,2002
CH4,11964,rotational excitation,ECX, T,CH4,0,J=0,CH4 +0 ( J=0 ),CH4(J=3),CH4(J=0) + e --> CH4(J=3), eV,cm2,RN 2014T201, Brigg  W.J Tennyson  J. Plummer  M., R-matrix calculations of low-energy electron collisions with methane, J. Phys. B,47,185203,2014
