ID	X	Y	X_error	Y_error
11740	2.000000e-02	7.410000e-16	0	0.0
11740	3.000000e-02	7.710000e-16	0	0.0
11740	4.000000e-02	8.080000e-16	0	0.0
11740	5.000000e-02	8.320000e-16	0	0.0
11740	6.000000e-02	8.510000e-16	0	0.0
11740	7.000000e-02	8.690000e-16	0	0.0
11740	8.000000e-02	8.840000e-16	0	0.0
11740	9.000000e-02	8.990000e-16	0	0.0
11740	1.000000e-01	9.130000e-16	0	0.0
11740	1.200000e-01	9.330000e-16	0	0.0
11740	1.500000e-01	9.550000e-16	0	0.0
11740	2.000000e-01	9.830000e-16	0	0.0
11740	2.500000e-01	1.004000e-15	0	0.0
11740	3.000000e-01	1.024000e-15	0	0.0
11740	4.000000e-01	1.061000e-15	0	0.0
11740	5.000000e-01	1.095000e-15	0	0.0
11740	6.000000e-01	1.128000e-15	0	0.0
11740	7.000000e-01	1.159000e-15	0	0.0
11740	8.000000e-01	1.188000e-15	0	0.0
11740	9.000000e-01	1.216000e-15	0	0.0
11740	1.000000e+00	1.236000e-15	0	0.0
11740	1.250000e+00	1.300000e-15	0	0.0
11740	1.500000e+00	1.355000e-15	0	0.0
11740	2.000000e+00	1.411000e-15	0	0.0
11740	3.000000e+00	1.412000e-15	0	0.0
11740	4.000000e+00	1.320000e-15	0	0.0
11740	5.000000e+00	1.251000e-15	0	0.0
11740	6.000000e+00	1.145000e-15	0	0.0
11740	8.000000e+00	9.850000e-16	0	0.0
11740	1.000000e+01	8.580000e-16	0	0.0
11740	1.200000e+01	7.610000e-16	0	0.0
11740	1.400000e+01	6.920000e-16	0	0.0
11740	1.600000e+01	6.320000e-16	0	0.0
11740	1.800000e+01	5.780000e-16	0	0.0
11740	2.000000e+01	5.260000e-16	0	0.0
11740	2.500000e+01	4.230000e-16	0	0.0
11740	3.000000e+01	3.400000e-16	0	0.0
11740	3.500000e+01	2.810000e-16	0	0.0
11740	4.000000e+01	2.360000e-16	0	0.0
11740	5.000000e+01	1.730000e-16	0	0.0
11740	6.000000e+01	1.310000e-16	0	0.0
11740	7.000000e+01	1.060000e-16	0	0.0
11740	8.000000e+01	8.900000e-17	0	0.0
11740	9.000000e+01	8.100000e-17	0	0.0
11740	1.000000e+02	7.400000e-17	0	0.0
