id,ordinary_formula,charge,mass,energy,hform,lj_epsilon,lj_sigma
189,C,0,12.0107,,716.67,30.6,3.385
195,Ti,0,47.867,,,2750.0,2.655
196,Ti+,1,47.867,,,2750.0,2.655
197,COF,0,47.008503,,,400.0,4.0
198,COF2,0,66.006906,,,400.0,4.0
199,C2F4+,1,100.015012,,,500.0,4.2
200,FO,0,34.997803,,111.27,125.0,3.3
201,CF3O2,0,101.004709,,,500.0,4.2
202,CF,0,31.009103,,,125.0,3.3
203,OH-,-1,17.00734,,-145.256,79.8,3.147
204,HF,0,20.006343,,-272.86,330.0,3.148
205,H3O+,1,19.02322,,,809.1,2.641
206,NF3,0,71.001909,,,175.0,4.154
207,NF2,0,52.003506,,,175.0,3.75
208,NF,0,33.005103,,,175.0,3.5
209,NF3+,1,71.001909,,,175.0,4.154
210,NF2+,1,52.003506,,,175.0,3.75
211,NF+,1,33.005103,,,175.0,3.5
213,Hg+,1,200.59,,,750.0,2.969
214,CHF3,0,70.013849,,,152.0,4.7
215,CHF2,0,51.015446,,,152.0,4.7
216,CHF,0,32.017043,,,152.0,4.7
217,CHF2+,1,51.015446,,,152.0,4.7
218,O3-,-1,47.9982,,-0.504,400.0,4.0
219,C4F8,0,200.030024,,,500.0,5.0
220,Si,0,28.0855,,450.0,3036.0,2.91
222,Si+,1,28.0855,,1242.5,3036.0,2.91
223,C+,1,12.0107,,1809.4,30.6,3.385
224,C3F5,0,131.024115,,,500.0,5.0
225,C3F5+,1,131.024115,,,500.0,5.0
226,C3F7,0,169.020921,,,500.0,5.0
227,C3F7+,1,169.020921,,,500.0,5.0
228,C3F6,0,150.022518,,,500.0,5.0
229,C3F6+,1,150.022518,,,500.0,5.0
230,C4F7,0,181.031621,,,500.0,5.0
231,C4F7+,1,181.031621,,,500.0,5.0
232,C4F8+,1,200.030024,,,500.0,5.0
233,COF2+,1,66.006906,,,400.0,4.0
235,CF+,1,31.009103,,1132.0,125.0,3.3
236,C2F3+,1,81.016609,,,500.0,5.0
237,C4F8-,-1,200.030024,,,500.0,5.0
239,CN,0,26.0174,,438.7,92.0,3.75
242,Ne2+,1,40.3594,,,32.8,4.0
245,BF,0,29.809403,,,612.0,2.888
246,BF+,1,29.809403,,,612.0,2.888
247,B,0,10.811,,,3331.0,2.265
248,B+,1,10.811,,,3331.0,2.265
250,NH+,1,15.01464,,1665.8,65.3,3.31
255,CH2-,-1,14.02658,,,,
256,C2H5,0,29.0611,,119.7,,
257,C2H6+,1,30.06904,,1036.1,,
258,CHF+,1,32.017043,,,152.0,4.7
259,CH+,1,13.01864,,1630.57,,
262,NO+,1,30.0061,,990.807,116.7,3.492
264,NO-,-1,30.0061,,,,
266,Br2,0,159.808,,,,
267,N2H+,1,29.02134,,1045.33,,
268,HO2NO2,0,79.01224,,,,
269,NO3,0,62.0049,,74.63,,
270,N2O3,0,76.0116,,,,
271,N2O4,0,92.011,,,,
272,N2O5,0,108.0104,,,,
273,HNO,0,31.01404,,106.84,,
274,O4-,-1,63.9976,,,,
275,HO2,0,33.00674,,12.55,289.3,4.196
276,NO2,0,46.0055,,34.19,,
277,N2O-,-1,44.0128,,,,
278,NO2-,-1,46.0055,,,,
279,N2H,0,29.02134,,249.484,,
281,HONO,0,47.01344,,,,
282,N2O2+,1,60.0122,,,,
283,NO3-,-1,62.0049,,,,
284,Br2+,1,159.808,,,,
286,HONO2,0,63.01284,,,,
288,H2O2,0,34.01468,,-135.9,289.3,4.196
289,O4+,1,63.9976,,,,
290,HNO+,1,31.01404,,1095.8,,
293,M,0,,,,,
294,N2H2,0,30.02928,,200.22,65.3,3.31
295,N2H3,0,31.03722,,224.86,65.3,3.31
296,N2H4,0,32.04516,,95.2,65.3,3.31
297,SF+,1,51.063403,,,,
298,SF4+,1,108.058612,,,,
299,SF5,0,127.057015,,,,
300,SF6,0,146.055418,,,,
301,SF4,0,108.058612,,,,
302,SF2+,1,70.061806,,,,
303,SF2,0,70.061806,,,,
304,SF3,0,89.060209,,,,
305,SF3+,1,89.060209,,,,
306,SF5-,-1,127.057015,,,,
307,SF,0,51.063403,,,,
308,SF6-,-1,146.055418,,,,
309,SF5+,1,127.057015,,,,
310,SO2F2,0,102.060606,,,,
311,SOF,0,67.062803,,,,
312,SOF2,0,86.061206,,,,
313,SOF3,0,105.059609,,,,
314,SOF4,0,124.058012,,,,
315,CH2F2,0,52.023386,,,,
