ID	X	Y	X_error	Y_error
rowB201213058	0.25	20.7	0.0	0.0
rowB201213058	0.2	19.7	0.0	0.0
rowB201213058	0.9	23.1	0.0	0.0
rowB201213058	0.8	22.9	0.0	0.0
rowB201213058	0.7	22.7	0.0	0.0
rowB201213058	0.6	22.5	0.0	0.0
rowB201213058	0.45	22.1	0.0	0.0
rowB201213058	0.4	21.9	0.0	0.0
rowB201213058	0.35	21.6	0.0	0.0
rowB201213058	0.3	21.2	0.0	0.0
rowB201213058	0.5	22.2	0.0	0.0
rowB201213058	1.0	23.3	0.0	0.0
rowB201213058	1.2	23.7	0.0	0.0
rowB201213058	1.5	25.0	0.0	0.0
rowB201213058	1.7	25.8	0.0	0.0
rowB201213058	2.5	30.8	0.0	0.0
rowB201213058	2.0	27.2	0.0	0.0
rowB201213058	3.0	34.8	0.0	0.0
rowB201213058	3.5	37.7	0.0	0.0
rowB201213058	4.0	38.8	0.0	0.0
rowB201213058	4.5	38.0	0.0	0.0
rowB201213058	5.0	37.4	0.0	0.0
rowB201213058	6.0	39.6	0.0	0.0
rowB201213058	7.0	41.1	0.0	0.0
rowB201213058	8.0	41.7	0.0	0.0
rowB201213058	9.0	42.9	0.0	0.0
rowB201213058	10.0	42.2	0.0	0.0
rowB201213058	12.0	38.8	0.0	0.0
rowB201213058	15.0	36.9	0.0	0.0
rowB201213058	17.0	37.9	0.0	0.0
rowB201213058	20.0	41.1	0.0	0.0
rowB201213058	25.0	42.4	0.0	0.0
rowB201213058	30.0	42.4	0.0	0.0
rowB201213058	35.0	42.2	0.0	0.0
rowB201213058	40.0	42.0	0.0	0.0
rowB201213058	45.0	41.6	0.0	0.0
rowB201213058	50.0	41.2	0.0	0.0
rowB201213058	60.0	40.2	0.0	0.0
rowB201213058	70.0	38.9	0.0	0.0
rowB201213058	80.0	37.5	0.0	0.0
rowB201213058	90.0	35.8	0.0	0.0
rowB201213058	100.0	34.1	0.0	0.0
rowB201213058	120.0	31.9	0.0	0.0
rowB201213058	150.0	29.2	0.0	0.0
rowB201213058	170.0	27.6	0.0	0.0
rowB201213058	200.0	25.6	0.0	0.0
rowB201213058	250.0	22.8	0.0	0.0
rowB201213058	300.0	20.6	0.0	0.0
rowB201213058	350.0	18.8	0.0	0.0
rowB201213058	400.0	17.3	0.0	0.0
rowB201213058	450.0	16.1	0.0	0.0
rowB201213058	500.0	15.1	0.0	0.0
rowB201213058	600.0	13.5	0.0	0.0
