ID	X	Y	X_error	Y_error
rowB201212640	14.5	0.055	0.0	0.00385
rowB201212640	15.0	0.097	0.0	0.006790000000000001
rowB201212640	15.5	0.135	0.0	0.00945
rowB201212640	16.0	0.174	0.0	0.01218
rowB201212640	16.5	0.215	0.0	0.01505
rowB201212640	17.0	0.255	0.0	0.01785
rowB201212640	17.5	0.293	0.0	0.020509999999999997
rowB201212640	18.0	0.333	0.0	0.02331
rowB201212640	18.5	0.373	0.0	0.026109999999999998
rowB201212640	19.0	0.428	0.0	0.02996
rowB201212640	19.5	0.452	0.0	0.03164
rowB201212640	21.0	0.577	0.0	0.040389999999999995
rowB201212640	21.5	0.623	0.0	0.043609999999999996
rowB201212640	22.0	0.676	0.0	0.04732
rowB201212640	22.5	0.727	0.0	0.05089
rowB201212640	23.5	0.828	0.0	0.05796
rowB201212640	23.0	0.777	0.0	0.05439
rowB201212640	24.0	0.88	0.0	0.0616
rowB201212640	25.0	1.04	0.0	0.052000000000000005
rowB201212640	30.0	1.58	0.0	0.079
rowB201212640	35.0	1.95	0.0	0.0975
rowB201212640	40.0	2.25	0.0	0.1125
rowB201212640	45.0	2.5	0.0	0.125
rowB201212640	50.0	2.71	0.0	0.1355
rowB201212640	55.0	2.88	0.0	0.144
rowB201212640	60.0	3.06	0.0	0.153
rowB201212640	65.0	3.18	0.0	0.159
rowB201212640	70.0	3.27	0.0	0.1635
rowB201212640	75.0	3.36	0.0	0.168
rowB201212640	80.0	3.45	0.0	0.17250000000000001
rowB201212640	85.0	3.51	0.0	0.17549999999999996
rowB201212640	90.0	3.56	0.0	0.17800000000000002
rowB201212640	95.0	3.6	0.0	0.18
rowB201212640	100.0	3.64	0.0	0.182
rowB201212640	110.0	3.66	0.0	0.18300000000000002
rowB201212640	120.0	3.66	0.0	0.18300000000000002
rowB201212640	140.0	3.63	0.0	0.1815
rowB201212640	160.0	3.52	0.0	0.17600000000000002
rowB201212640	180.0	3.43	0.0	0.1715
rowB201212640	200.0	3.32	0.0	0.16599999999999998
rowB201212640	225.0	3.21	0.0	0.1605
rowB201212640	250.0	3.05	0.0	0.1525
rowB201212640	275.0	2.97	0.0	0.14850000000000002
rowB201212640	300.0	2.82	0.0	0.141
rowB201212640	350.0	2.58	0.0	0.129
rowB201212640	400.0	2.43	0.0	0.12150000000000001
rowB201212640	450.0	2.23	0.0	0.1115
rowB201212640	500.0	2.09	0.0	0.1045
rowB201212640	550.0	1.96	0.0	0.098
rowB201212640	600.0	1.85	0.0	0.0925
rowB201212640	650.0	1.76	0.0	0.08800000000000001
rowB201212640	700.0	1.68	0.0	0.084
rowB201212640	750.0	1.61	0.0	0.0805
rowB201212640	800.0	1.53	0.0	0.0765
rowB201212640	850.0	1.45	0.0	0.0725
rowB201212640	900.0	1.41	0.0	0.0705
rowB201212640	950.0	1.36	0.0	0.068
rowB201212640	1000.0	1.3	0.0	0.065
