ID	X	Y	X_error	Y_error
rowB201213626	11.5	0.03	0.0	0.0
rowB201213626	12.0	0.11	0.0	0.0
rowB201213626	13.0	0.25	0.0	0.0
rowB201213626	14.0	0.43	0.0	0.0
rowB201213626	15.0	0.69	0.0	0.0
rowB201213626	16.0	0.99	0.0	0.0
rowB201213626	17.0	1.32	0.0	0.0
rowB201213626	18.0	1.67	0.0	0.0
rowB201213626	19.0	2.06	0.0	0.0
rowB201213626	20.0	2.47	0.0	0.0
rowB201213626	22.0	3.25	0.0	0.0
rowB201213626	24.0	3.79	0.0	0.0
rowB201213626	26.0	4.17	0.0	0.0
rowB201213626	28.0	4.51	0.0	0.0
rowB201213626	30.0	4.8	0.0	0.0
rowB201213626	35.0	5.26	0.0	0.0
rowB201213626	40.0	5.49	0.0	0.0
rowB201213626	45.0	5.68	0.0	0.0
rowB201213626	50.0	5.87	0.0	0.0
rowB201213626	55.0	6.03	0.0	0.0
rowB201213626	60.0	6.15	0.0	0.0
rowB201213626	65.0	6.25	0.0	0.0
rowB201213626	70.0	6.32	0.0	0.0
rowB201213626	75.0	6.33	0.0	0.0
rowB201213626	80.0	6.31	0.0	0.0
rowB201213626	85.0	6.28	0.0	0.0
rowB201213626	90.0	6.25	0.0	0.0
rowB201213626	95.0	6.22	0.0	0.0
rowB201213626	100.0	6.19	0.0	0.0
