ID	X	Y	X_error	Y_error
rowB201213230	8.0	0.02	0.0	0.0050
rowB201213230	8.5	0.055	0.0	0.01375
rowB201213230	9.0	0.12	0.0	0.03
rowB201213230	9.5	0.155	0.0	0.03875
rowB201213230	10.0	0.145	0.0	0.03625
rowB201213230	10.5	0.132	0.0	0.033
rowB201213230	11.0	0.131	0.0	0.03275
rowB201213230	12.5	0.125	0.0	0.03125
rowB201213230	15.0	0.131	0.0	0.03275
rowB201213230	20.0	0.289	0.0	0.10114999999999999
rowB201213230	30.0	0.17	0.0	0.059500000000000004
rowB201213230	40.0	0.073	0.0	0.025549999999999996
rowB201213230	50.0	0.043	0.0	0.01505
