ID	X	Y	X_error	Y_error
rowB201213910	16.0	2.11	0.0	0.53
rowB201213910	18.0	2.92	0.0	0.44
rowB201213910	20.0	3.87	0.0	0.31
rowB201213910	25.0	4.51	0.0	0.32
rowB201213910	30.0	4.88	0.0	0.34
rowB201213910	40.0	5.03	0.0	0.3018
rowB201213910	50.0	4.92	0.0	0.2952
rowB201213910	60.0	4.92	0.0	0.2952
rowB201213910	80.0	4.69	0.0	0.28140000000000004
rowB201213910	100.0	4.54	0.0	0.27240000000000003
rowB201213910	150.0	3.91	0.0	0.2346
rowB201213910	200.0	3.36	0.0	0.2016
rowB201213910	300.0	2.77	0.0	0.16620000000000001
rowB201213910	400.0	2.42	0.0	0.1452
rowB201213910	500.0	2.19	0.0	0.13140000000000002
rowB201213910	600.0	1.87	0.0	0.17000000000000004
rowB201213910	800.0	1.52	0.0	0.18
rowB201213910	1000.0	1.29	0.0	0.15
