ID	X	Y	X_error	Y_error
rowB201212770	18.0	0.06	0.0	0.0
rowB201212770	20.0	0.13	0.0	0.0
rowB201212770	22.0	0.19	0.0	0.0
rowB201212770	24.0	0.27	0.0	0.0
rowB201212770	26.0	0.34	0.0	0.0
rowB201212770	28.0	0.41	0.0	0.0
rowB201212770	30.0	0.49	0.0	0.0
rowB201212770	35.0	0.64	0.0	0.0
rowB201212770	40.0	0.8	0.0	0.0
rowB201212770	45.0	0.94	0.0	0.0
rowB201212770	50.0	1.04	0.0	0.0
rowB201212770	55.0	1.13	0.0	0.0
rowB201212770	60.0	1.2	0.0	0.0
rowB201212770	65.0	1.25	0.0	0.0
rowB201212770	70.0	1.26	0.0	0.0
rowB201212770	75.0	1.3	0.0	0.0
rowB201212770	80.0	1.31	0.0	0.0
rowB201212770	90.0	1.31	0.0	0.0
rowB201212770	100.0	1.31	0.0	0.0
rowB201212770	110.0	1.31	0.0	0.0
rowB201212770	120.0	1.3	0.0	0.0
rowB201212770	125.0	1.28	0.0	0.0
