ID	X	Y	X_error	Y_error
rowB201214550	40.0	0.02	0.0	0.0
rowB201214550	45.0	0.06	0.0	0.0
rowB201214550	50.0	0.11	0.0	0.0
rowB201214550	55.0	0.13	0.0	0.0
rowB201214550	60.0	0.21	0.0	0.0
rowB201214550	65.0	0.29	0.0	0.0
rowB201214550	70.0	0.31	0.0	0.0
rowB201214550	75.0	0.31	0.0	0.0
rowB201214550	80.0	0.3	0.0	0.0
rowB201214550	85.0	0.31	0.0	0.0
rowB201214550	90.0	0.32	0.0	0.0
rowB201214550	95.0	0.33	0.0	0.0
rowB201214550	100.0	0.34	0.0	0.0
rowB201214550	110.0	0.34	0.0	0.0
rowB201214550	120.0	0.34	0.0	0.0
rowB201214550	130.0	0.34	0.0	0.0
rowB201214550	140.0	0.36	0.0	0.0
rowB201214550	150.0	0.36	0.0	0.0
rowB201214550	160.0	0.36	0.0	0.0
rowB201214550	170.0	0.35	0.0	0.0
rowB201214550	180.0	0.33	0.0	0.0
rowB201214550	190.0	0.33	0.0	0.0
rowB201214550	200.0	0.32	0.0	0.0
rowB201214550	250.0	0.31	0.0	0.0
rowB201214550	300.0	0.25	0.0	0.0
rowB201214550	350.0	0.23	0.0	0.0
rowB201214550	400.0	0.23	0.0	0.0
rowB201214550	450.0	0.22	0.0	0.0
rowB201214550	500.0	0.21	0.0	0.0
