ID	X	Y	X_error	Y_error
rowB201200186	35	.022000000000000002	0	.0022
rowB201200186	40	.051000000000000004	0	.0051
rowB201200186	45	.07600000000000001	0	.007600000000000002
rowB201200186	50	.098	0	.009800000000000001
rowB201200186	60	.122	0	.0122
rowB201200186	70	.135	0	.013500000000000002
rowB201200186	80	.14	0	.014000000000000002
rowB201200186	90	.142	0	.014199999999999999
rowB201200186	100	.143	0	.0143
rowB201200186	125	.132	0	.013200000000000002
rowB201200186	150	.118	0	.0118
rowB201200186	175	.10700000000000001	0	.010700000000000001
rowB201200186	200	.097	0	.0097
rowB201200186	225	.09	0	.009
rowB201200186	250	.07800000000000001	0	.007800000000000001
rowB201200186	275	.073	0	.0073
rowB201200186	300	.065	0	.006500000000000001
rowB201200186	350	.05600000000000001	0	.005600000000000001
rowB201200186	400	.05	0	.005000000000000001
rowB201200186	450	.043000000000000003	0	.004300000000000001
rowB201200186	500	.03900000000000001	0	.0039000000000000007
rowB201200186	550	.035	0	.0035000000000000005
rowB201200186	600	.032	0	.0032
