ID	X	Y	X_error	Y_error
rowB201213569	0.8	0.0040	0.0	0.0
rowB201213569	1.0	0.0070	0.0	0.0
rowB201213569	1.4	0.025	0.0	0.0
rowB201213569	1.5	0.035	0.0	0.0
rowB201213569	1.7	0.07	0.0	0.0
rowB201213569	1.8	0.091	0.0	0.0
rowB201213569	2.7	0.19	0.0	0.0
rowB201213569	2.85	0.171	0.0	0.0
rowB201213569	2.5	0.202	0.0	0.0
rowB201213569	2.3	0.192	0.0	0.0
rowB201213569	2.0	0.139	0.0	0.0
rowB201213569	3.0	0.151	0.0	0.0
rowB201213569	3.5	0.09	0.0	0.0
rowB201213569	4.0	0.049	0.0	0.0
rowB201213569	4.5	0.028	0.0	0.0
rowB201213569	5.0	0.019	0.0	0.0
rowB201213569	5.5	0.014	0.0	0.0
rowB201213569	6.0	0.012	0.0	0.0
rowB201213569	6.5	0.01	0.0	0.0
