ID	X	Y	X_error	Y_error
rowB201207605	20	.994734167	0	0
rowB201207605	30	1.68488317	0	0
rowB201207605	40	2.05400932	0	0
rowB201207605	50	2.27059342	0	0
rowB201207605	60	2.40551598	0	0
rowB201207605	70	2.49388887	0	0
rowB201207605	80	2.55486276	0	0
rowB201207605	90	2.59954704	0	0
rowB201207605	100	2.63465461	0	0
rowB201207605	150	2.76905226	0	0
rowB201207605	200	2.91770285	0	0
rowB201207605	250	3.09551546	0	0
rowB201207605	300	3.29264643	0	0
rowB201207605	350	3.49937293	0	0
rowB201207605	400	3.70893612	0	0
rowB201207605	450	3.91705601	0	0
rowB201207605	500	4.12115121	0	0
rowB201207605	550	4.31974075	0	0
rowB201207605	600	4.51204241	0	0
rowB201207605	650	4.6977132	0	0
rowB201207605	700	4.87668353	0	0
rowB201207605	750	5.04905131	0	0
rowB201207605	800	5.21501424	0	0
rowB201207605	850	5.37482638	0	0
rowB201207605	900	5.52877038	0	0
rowB201207605	950	5.67713973	0	0
rowB201207605	1000	5.82022764	0	0
rowB201207605	1050	5.95832014	0	0
rowB201207605	1100	6.091692	0	0
rowB201207605	1150	6.2206045	0	0
rowB201207605	1200	6.34530433	0	0
rowB201207605	1250	6.46602336	0	0
rowB201207605	1300	6.58297881	0	0
rowB201207605	1350	6.69637375	0	0
rowB201207605	1400	6.80639778	0	0
rowB201207605	1450	6.9132278	0	0
rowB201207605	1500	7.01702882	0	0
rowB201207605	1550	7.11795477	0	0
rowB201207605	1600	7.21614925	0	0
rowB201207605	1650	7.31174636	0	0
rowB201207605	1700	7.40487132	0	0
rowB201207605	1750	7.49564121	0	0
rowB201207605	1800	7.58416553	0	0
rowB201207605	1850	7.67054683	0	0
rowB201207605	1900	7.75488119	0	0
rowB201207605	1950	7.83725875	0	0
rowB201207605	2000	7.91776412	0	0
rowB201207605	2500	8.63525046	0	0
rowB201207605	3000	9.2299334	0	0
rowB201207605	3500	9.73707993	0	0
rowB201207605	4000	10.1788531	0	0
rowB201207605	4500	10.5700225	0	0
rowB201207605	5000	10.9208985	0	0
rowB201207605	5500	11.2389515	0	0
rowB201207605	6000	11.5297619	0	0
rowB201207605	6500	11.7976052	0	0
rowB201207605	7000	12.0458277	0	0
rowB201207605	7500	12.2770967	0	0
rowB201207605	8000	12.493572	0	0
rowB201207605	8500	12.6970267	0	0
rowB201207605	9000	12.8889337	0	0
rowB201207605	9500	13.0705302	0	0
rowB201207605	10000	13.2428651	0	0
rowB201207605	11000	13.5632135	0	0
rowB201207605	12000	13.8557919	0	0
rowB201207605	13000	14.1250257	0	0
rowB201207605	14000	14.3743615	0	0
rowB201207605	15000	14.6065357	0	0
rowB201207605	16000	14.823757	0	0
