ID	X	Y	X_error	Y_error
rowB201216023	13.5	0.025	0.0	0.0
rowB201216023	15.0	0.126	0.0	0.0
rowB201216023	17.5	0.27399999999999997	0.0	0.0
rowB201216023	20.0	0.428	0.0	0.0
rowB201216023	22.5	0.609	0.0	0.0
rowB201216023	25.0	0.761	0.0	0.0
rowB201216023	30.0	1.02	0.0	0.0
rowB201216023	35.0	1.26	0.0	0.0
rowB201216023	40.0	1.43	0.0	0.0
rowB201216023	45.0	1.59	0.0	0.0
rowB201216023	50.0	1.72	0.0	0.0
rowB201216023	60.0	1.8800000000000001	0.0	0.0
rowB201216023	70.0	1.99	0.0	0.0
rowB201216023	80.0	2.09	0.0	0.0
rowB201216023	90.0	2.13	0.0	0.0
rowB201216023	100.0	2.16	0.0	0.0
rowB201216023	110.0	2.15	0.0	0.0
rowB201216023	125.0	2.13	0.0	0.0
rowB201216023	150.0	2.05	0.0	0.0
rowB201216023	175.0	1.99	0.0	0.0
rowB201216023	200.0	1.9000000000000001	0.0	0.0
rowB201216023	250.0	1.73	0.0	0.0
rowB201216023	300.0	1.57	0.0	0.0
rowB201216023	400.0	1.34	0.0	0.0
rowB201216023	500.0	1.16	0.0	0.0
rowB201216023	600.0	1.02	0.0	0.0
rowB201216023	700.0	0.917	0.0	0.0
rowB201216023	800.0	0.8300000000000001	0.0	0.0
rowB201216023	900.0	0.763	0.0	0.0
rowB201216023	1000.0	0.705	0.0	0.0
