ID	X	Y	X_error	Y_error
rowB201207592	.200000003	.0492727991	0	0
rowB201207592	.100000001	.0492693226	0	0
rowB201207592	.899999976	.0492971078	0	0
rowB201207592	.800000012	.0492936379	0	0
rowB201207592	.699999988	.0492901672	0	0
rowB201207592	.5	.0492832227	0	0
rowB201207592	.600000024	.0492866954	0	0
rowB201207592	.300000012	.0492762746	0	0
rowB201207592	.400000006	.0492797491	0	0
rowB201207592	1	.0493005767	0	0
rowB201207592	2	.0493352142	0	0
rowB201207592	3	.049369758	0	0
rowB201207592	4	.0494042086	0	0
rowB201207592	5	.0494385663	0	0
rowB201207592	6	.0494728316	0	0
rowB201207592	7	.0495070047	0	0
rowB201207592	8	.049541086	0	0
rowB201207592	9	.049575076	0	0
rowB201207592	10	.0496089749	0	0
rowB201207592	20	.0499430379	0	0
rowB201207592	30	.0502683888	0	0
rowB201207592	40	.0505853641	0	0
rowB201207592	50	.0508942831	0	0
rowB201207592	60	.051195449	0	0
rowB201207592	70	.0514891502	0	0
rowB201207592	80	.0517756607	0	0
rowB201207592	90	.0520552414	0	0
rowB201207592	100	.0523281408	0	0
rowB201207592	150	.0536003274	0	0
rowB201207592	200	.054736727	0	0
rowB201207592	250	.055757978	0	0
rowB201207592	300	.056680738	0	0
rowB201207592	350	.0575185995	0	0
rowB201207592	400	.0582827639	0	0
rowB201207592	450	.058982545	0	0
rowB201207592	500	.0596257506	0	0
rowB201207592	550	.0602189751	0	0
rowB201207592	600	.0607678264	0	0
rowB201207592	650	.0612771037	0	0
rowB201207592	700	.0617509382	0	0
rowB201207592	750	.0621929053	0	0
rowB201207592	800	.0626061154	0	0
rowB201207592	850	.0629932866	0	0
rowB201207592	900	.0633568051	0	0
rowB201207592	950	.0636987741	0	0
rowB201207592	1000	.0640210545	0	0
rowB201207592	1050	.0643252993	0	0
rowB201207592	1100	.064612981	0	0
rowB201207592	1150	.0648854165	0	0
rowB201207592	1200	.0651437865	0	0
rowB201207592	1250	.0653891527	0	0
rowB201207592	1300	.0656224729	0	0
rowB201207592	1350	.0658446128	0	0
rowB201207592	1400	.0660563573	0	0
rowB201207592	1450	.0662584194	0	0
rowB201207592	1500	.0664514484	0	0
rowB201207592	1550	.0666360367	0	0
rowB201207592	1600	.0668127261	0	0
rowB201207592	1650	.0669820131	0	0
rowB201207592	1700	.0671443533	0	0
rowB201207592	1750	.0673001656	0	0
rowB201207592	1800	.0674498361	0	0
rowB201207592	1850	.0675937209	0	0
rowB201207592	1900	.0677321491	0	0
rowB201207592	1950	.0678654253	0	0
rowB201207592	2000	.0679938319	0	0
rowB201207592	2500	.0690597149	0	0
rowB201207592	3000	.069840366	0	0
rowB201207592	3500	.0704367664	0	0
rowB201207592	4000	.0709072615	0	0
rowB201207592	4500	.0712879144	0	0
rowB201207592	5000	.0716022155	0	0
rowB201207592	5500	.0718661228	0	0
rowB201207592	6000	.0720908567	0	0
rowB201207592	6500	.0722845368	0	0
rowB201207592	7000	.0724531835	0	0
rowB201207592	7500	.0726013556	0	0
rowB201207592	8000	.0727325685	0	0
rowB201207592	8500	.072849576	0	0
rowB201207592	9000	.0729545666	0	0
rowB201207592	9500	.0730493011	0	0
rowB201207592	10000	.0731352124	0	0
rowB201207592	11000	.0732850756	0	0
rowB201207592	12000	.0734114067	0	0
rowB201207592	13000	.0735193448	0	0
rowB201207592	14000	.0736126342	0	0
rowB201207592	15000	.0736940675	0	0
rowB201207592	16000	.0737657698	0	0
