ID	X	Y	X_error	Y_error
rowB201213074	0.012	108.0	0.0	0.0
rowB201213074	0.9	12.8	0.0	0.0
rowB201213074	0.8	13.1	0.0	0.0
rowB201213074	0.7	13.7	0.0	0.0
rowB201213074	0.6	14.5	0.0	0.0
rowB201213074	0.5	15.8	0.0	0.0
rowB201213074	0.45	16.7	0.0	0.0
rowB201213074	0.4	17.8	0.0	0.0
rowB201213074	0.35	19.2	0.0	0.0
rowB201213074	0.3	21.0	0.0	0.0
rowB201213074	0.25	23.4	0.0	0.0
rowB201213074	0.22	25.2	0.0	0.0
rowB201213074	0.2	26.7	0.0	0.0
rowB201213074	0.17	29.4	0.0	0.0
rowB201213074	0.15	31.6	0.0	0.0
rowB201213074	0.12	35.9	0.0	0.0
rowB201213074	0.09	42.2	0.0	0.0
rowB201213074	0.1	39.8	0.0	0.0
rowB201213074	0.01	117.0	0.0	0.0
rowB201213074	0.015	99.0	0.0	0.0
rowB201213074	0.017	93.9	0.0	0.0
rowB201213074	0.02	87.6	0.0	0.0
rowB201213074	0.022	84.0	0.0	0.0
rowB201213074	0.025	79.4	0.0	0.0
rowB201213074	0.03	73.1	0.0	0.0
rowB201213074	0.035	68.1	0.0	0.0
rowB201213074	0.04	63.9	0.0	0.0
rowB201213074	0.045	60.3	0.0	0.0
rowB201213074	0.05	57.3	0.0	0.0
rowB201213074	0.06	52.3	0.0	0.0
rowB201213074	0.07	48.2	0.0	0.0
rowB201213074	0.08	45.0	0.0	0.0
rowB201213074	1.0	12.6	0.0	0.0
rowB201213074	1.7	12.1	0.0	0.0
rowB201213074	1.5	12.0	0.0	0.0
rowB201213074	1.2	12.2	0.0	0.0
rowB201213074	2.0	12.3	0.0	0.0
rowB201213074	2.2	12.6	0.0	0.0
rowB201213074	2.5	13.0	0.0	0.0
rowB201213074	3.0	13.8	0.0	0.0
rowB201213074	3.5	14.8	0.0	0.0
rowB201213074	4.0	15.4	0.0	0.0
rowB201213074	4.5	14.6	0.0	0.0
rowB201213074	5.0	14.1	0.0	0.0
rowB201213074	6.0	14.2	0.0	0.0
rowB201213074	7.0	14.7	0.0	0.0
rowB201213074	8.0	15.3	0.0	0.0
rowB201213074	9.0	15.9	0.0	0.0
rowB201213074	10.0	16.5	0.0	0.0
