ID	X	Y	X_error	Y_error
rowB201100986	30	.001	0	0
rowB201100986	35	.003	0	0
rowB201100986	40	.014	0	0
rowB201100986	45	.052	0	0
rowB201100986	50	.09	0	0
rowB201100986	60	.161	0	0
rowB201100986	70	.227	0	0
rowB201100986	80	.272	0	0
rowB201100986	90	.311	0	0
rowB201100986	100	.347	0	0
rowB201100986	120	.397	0	0
rowB201100986	140	.425	0	0
rowB201100986	160	.434	0	0
rowB201100986	180	.438	0	0
rowB201100986	200	.433	0	0
rowB201100986	250	.401	0	0
rowB201100986	300	.368	0	0
rowB201100986	400	.306	0	0
rowB201100986	500	.255	0	0
